zcta,name,city,county,state,median_hh_income,median_age,total_households,total_pop,male_pop,pop_25plus,bachelors,masters,professional,doctorate
86431,ZCTA5 86431,Chloride,Mohave,AZ,31042,60.1,192,295,205,295,21,0,0,0
86432,ZCTA5 86432,Littlefield,Mohave,AZ,34660,60.1,1844,3935,1811,3217,328,43,0,0
86433,ZCTA5 86433,Oatman,Mohave,AZ,-666666666,71.2,75,94,75,94,17,58,0,0
86434,ZCTA5 86434,Peach Springs,Mohave,AZ,43580,24.7,503,1867,876,918,59,12,0,0
86435,ZCTA5 86435,Supai,Coconino,AZ,-666666666,-666666666.0,0,0,0,0,0,0,0,0
86436,ZCTA5 86436,Topock,Mohave,AZ,-666666666,71.0,584,772,486,772,98,0,0,0
86437,ZCTA5 86437,Valentine,Mohave,AZ,73125,49.0,30,120,75,81,20,0,0,0
86438,ZCTA5 86438,Yucca,Mohave,AZ,43542,67.9,331,611,331,582,73,34,0,0
86440,ZCTA5 86440,Mohave Valley,Mohave,AZ,61167,47.3,3573,8708,4309,6770,581,233,32,26
86441,ZCTA5 86441,Dolan Springs,Mohave,AZ,36840,62.7,824,1510,679,1402,108,121,0,14
86442,ZCTA5 86442,Bullhead City,Mohave,AZ,43624,49.9,15199,34071,17713,25351,1826,719,304,86
86443,ZCTA5 86443,Temple Bar Marina,Mohave,AZ,-666666666,-666666666.0,0,0,0,0,0,0,0,0
86444,ZCTA5 86444,Meadview,Mohave,AZ,55508,70.0,881,1641,857,1622,63,32,15,0
86445,ZCTA5 86445,Willow Beach,Mohave,AZ,36600,52.1,122,265,133,197,26,0,0,0
86502,ZCTA5 86502,Chambers,Apache,AZ,21630,44.0,320,968,512,724,45,3,0,7
86503,ZCTA5 86503,Chinle,Apache,AZ,29624,35.5,3066,9714,4858,6101,292,260,29,21
86504,ZCTA5 86504,Fort Defiance,Mckinley,NM,41738,34.0,1613,5909,2745,3719,278,92,32,28
86505,ZCTA5 86505,Ganado,Apache,AZ,25953,32.7,1967,7436,3629,4638,297,144,4,8
86506,ZCTA5 86506,Houck,Apache,AZ,26544,37.5,413,1389,670,907,44,7,0,3
86507,ZCTA5 86507,Lukachukai,Apache,AZ,23304,32.0,557,2006,941,1300,112,27,0,6
86508,ZCTA5 86508,Lupton,Mckinley,NM,16875,39.2,184,542,270,394,25,3,2,0
86510,ZCTA5 86510,Pinon,Navajo,AZ,27090,36.5,1447,3720,1725,2398,91,119,12,10
86511,ZCTA5 86511,Saint Michaels,Apache,AZ,31797,36.4,945,3479,1604,2257,164,105,0,19
86512,ZCTA5 86512,Sanders,Apache,AZ,29365,31.2,724,2594,1320,1610,27,44,0,0
86514,ZCTA5 86514,Teec Nos Pos,San Juan,UT,43068,31.5,837,3212,1568,1920,80,80,5,6
86515,ZCTA5 86515,Window Rock,Mckinley,NM,36000,36.2,1030,2883,1304,2012,229,74,0,19
86520,ZCTA5 86520,Blue Gap,Apache,AZ,16818,31.5,746,2201,1100,1373,28,29,0,6
86535,ZCTA5 86535,Dennehotso,Apache,AZ,22000,37.3,336,1250,712,882,41,0,0,4
86538,ZCTA5 86538,Many Farms,Apache,AZ,27500,33.4,556,1603,853,946,67,60,0,0
86540,ZCTA5 86540,Nazlini,Apache,AZ,23250,29.6,252,909,410,496,35,11,0,0
86544,ZCTA5 86544,Red Valley,Apache,AZ,25938,36.1,377,1440,799,934,33,18,0,1
86545,ZCTA5 86545,Rock Point,Apache,AZ,26000,32.7,336,1136,585,682,36,24,0,0
86547,ZCTA5 86547,Round Rock,Apache,AZ,31042,23.7,243,1044,457,512,18,10,0,0
86556,ZCTA5 86556,Tsaile,Apache,AZ,24625,21.9,603,2945,1368,1244,54,52,12,20
87001,ZCTA5 87001,Algodones,Sandoval,NM,38421,40.5,1024,3393,1760,2236,238,48,5,4
87002,ZCTA5 87002,Boys Ranch,Valencia,NM,50655,47.4,7419,19985,9998,14603,1743,1193,26,122
87004,ZCTA5 87004,Bernalillo,Sandoval,NM,58442,43.5,4703,11614,6010,8819,940,579,43,82
87005,ZCTA5 87005,Bluewater,Cibola,NM,-666666666,-666666666.0,25,25,25,25,0,0,0,0
87006,ZCTA5 87006,Bosque,Socorro,NM,78615,36.5,326,1716,1122,937,87,36,0,2
87007,ZCTA5 87007,Casa Blanca,Cibola,NM,31776,27.4,428,1824,868,1035,146,20,0,0
87008,ZCTA5 87008,Cedar Crest,Bernalillo,NM,106250,53.3,1153,2418,1058,1880,461,429,40,62
87010,ZCTA5 87010,Cerrillos,Santa Fe,NM,37285,59.1,667,1073,585,968,371,178,0,44
87011,ZCTA5 87011,Claunch,Socorro,NM,-666666666,-666666666.0,2,5,2,5,0,0,0,0
87012,ZCTA5 87012,Coyote,Rio Arriba,NM,-666666666,63.8,169,320,213,320,0,0,0,0
87013,ZCTA5 87013,Cuba,Sandoval,NM,27388,32.2,1586,5600,2853,3360,124,71,4,28
87014,ZCTA5 87014,Cubero,Cibola,NM,46449,43.8,363,591,357,398,0,44,0,0
87015,ZCTA5 87015,Edgewood,Santa Fe,NM,71616,50.0,5920,14519,7225,11181,2163,952,168,198
87016,ZCTA5 87016,Estancia,Torrance,NM,40191,54.4,1179,2848,1610,2169,148,163,18,17
87017,ZCTA5 87017,Gallina,Rio Arriba,NM,125708,32.7,99,373,221,260,88,0,0,0
87018,ZCTA5 87018,Counselor,Sandoval,NM,16250,33.4,199,922,418,664,2,0,0,0
87020,ZCTA5 87020,Grants,Cibola,NM,57051,36.3,3409,10555,5412,7351,790,401,161,40
